species	ensembl_assembly_accession	assembly_status
prevotella_sp_p3_120_gca_002251535	GCA_002251535.1	Contig
prevotella_sp_p3_120_gca_002251535	GCA_002251535.1	Contig
prevotella_sp_p5_92_gca_002251245	GCA_002251245.1	Contig
prevotella_sp_p5_92_gca_002251245	GCA_002251245.1	Contig
prevotella_sp_p3_122_gca_002251365	GCA_002251365.1	Contig
prevotella_sp_p2_180_gca_002251435	GCA_002251435.1	Contig
prevotella_sp_p5_64_gca_002251285	GCA_002251285.1	Contig
prevotella_sp_p4_51_gca_002251455	GCA_002251455.1	Contig
glutamicibacter_sp_bw77_gca_002332285	GCA_002332285.1	Scaffold
glutamicibacter_sp_bw78_gca_002332245	GCA_002332245.1	Scaffold
glutamicibacter_sp_bw80_gca_002332385	GCA_002332385.1	Scaffold
halomonas_sp_jb37_gca_002332255	GCA_002332255.1	Contig
psychrobacter_sp_jb193_gca_002285555	GCA_002285555.1	Contig
neisseria_sp_n95_16_gca_002551535	GCA_002551535.2	Contig
microbacterium_sp_jb110_gca_003335195	GCA_003335195.1	Contig
candidatus_viridilinea_mediisalina_gca_002532535	GCA_002532535.1	Scaffold
virgibacillus_indicus_gca_002266285	GCA_002266285.1	Contig
virgibacillus_profundi_gca_002287375	GCA_002287375.1	Contig
plantactinospora_sp_kbs50_gca_002285795	GCA_002285795.1	Complete Genome
acinetobacter_sp_bs1_gca_002251565	GCA_002251565.1	Scaffold
lactobacillus_bambusae_gca_003124125	GCA_003124125.1	Scaffold
altibacter_sp__gca_002696485	GCA_002696485.1	Contig
balneola_sp__gca_002694685	GCA_002694685.1	Contig
balneola_sp__gca_002696035	GCA_002696035.1	Contig
balneola_sp__gca_002715105	GCA_002715105.1	Contig
balneola_sp__gca_002720745	GCA_002720745.1	Contig
balneola_sp__gca_003543395	GCA_003543395.1	Scaffold
balneola_sp__gca_003712055	GCA_003712055.1	Contig
bermanella_sp__gca_002683575	GCA_002683575.1	Contig
blastopirellula_sp__gca_002701545	GCA_002701545.1	Contig
citromicrobium_sp__gca_002694415	GCA_002694415.1	Contig
citromicrobium_sp__gca_002706245	GCA_002706245.1	Contig
citromicrobium_sp__gca_002724705	GCA_002724705.1	Contig
citromicrobium_sp__gca_003248395	GCA_003248395.1	Contig
citromicrobium_sp__gca_003248785	GCA_003248785.1	Contig
coraliomargarita_sp__gca_002699365	GCA_002699365.1	Contig
cycloclasticus_sp__gca_002716545	GCA_002716545.1	Contig
filomicrobium_sp__gca_002689605	GCA_002689605.1	Contig
geminicoccus_sp__gca_002687095	GCA_002687095.1	Contig
geminicoccus_sp__gca_002705565	GCA_002705565.1	Contig
geminicoccus_sp__gca_002708995	GCA_002708995.1	Contig
gimesia_sp__gca_002684555	GCA_002684555.1	Contig
gimesia_sp__gca_002706765	GCA_002706765.1	Contig
gimesia_sp__gca_002724985	GCA_002724985.1	Contig
halioglobus_sp__gca_002699145	GCA_002699145.1	Contig
halioglobus_sp__gca_002699145	GCA_002699145.1	Contig
hirschia_sp__gca_002715175	GCA_002715175.1	Contig
magnetovibrio_sp__gca_002690705	GCA_002690705.1	Contig
magnetovibrio_sp__gca_002709445	GCA_002709445.1	Contig
marinimicrobium_sp__gca_002695945	GCA_002695945.1	
marinovum_sp__gca_002691045	GCA_002691045.1	Contig
methylophaga_sp__gca_002696735	GCA_002696735.1	Contig
methylophaga_sp__gca_002706095	GCA_002706095.1	Contig
methylophaga_sp__gca_002710675	GCA_002710675.1	Contig
methylophaga_sp__gca_002733505	GCA_002733505.1	Contig
methylophaga_sp__gca_002733715	GCA_002733715.1	
methylophaga_sp__gca_002734025	GCA_002734025.1	
micavibrio_sp__gca_002685995	GCA_002685995.1	Contig
micavibrio_sp__gca_002699085	GCA_002699085.1	Contig
nisaea_sp__gca_002690685	GCA_002690685.1	Contig
nitrospina_sp__gca_002705185	GCA_002705185.1	Contig
nitrospina_sp__gca_003451695	GCA_003451695.1	Scaffold
nitrospina_sp__gca_003487765	GCA_003487765.1	Scaffold
nitrospina_sp__gca_003526595	GCA_003526595.1	Scaffold
owenweeksia_sp__gca_002695025	GCA_002695025.1	Contig
parvibaculum_sp__gca_002694985	GCA_002694985.1	Contig
parvibaculum_sp__gca_002695905	GCA_002695905.1	Contig
parvibaculum_sp__gca_002700265	GCA_002700265.1	Contig
candidatus_pelagibacter_sp__gca_002689125	GCA_002689125.1	Contig
polycyclovorans_sp__gca_002706265	GCA_002706265.1	Contig
porticoccus_sp__gca_002707685	GCA_002707685.1	Contig
porticoccus_sp__gca_002733125	GCA_002733125.1	Contig
pseudozobellia_sp__gca_002715605	GCA_002715605.1	Contig
roseibacillus_sp__gca_002686085	GCA_002686085.1	Contig
roseibacillus_sp__gca_002723015	GCA_002723015.1	Contig
sandaracinus_sp__gca_002699025	GCA_002699025.1	Contig
sandaracinus_sp__gca_002703625	GCA_002703625.1	Contig
sandaracinus_sp__gca_002703625	GCA_002703625.1	Contig
spongiibacter_sp__gca_002694315	GCA_002694315.1	Contig
spongiibacter_sp__gca_002706505	GCA_002706505.1	
spongiibacter_sp__gca_002730815	GCA_002730815.1	Contig
tistrella_sp__gca_002694845	GCA_002694845.1	Contig
tistrella_sp__gca_002709065	GCA_002709065.1	Contig
yangia_sp__gca_002700325	GCA_002700325.1	Contig
cyanobium_sp_nat70_gca_002701375	GCA_002701375.1	Contig
synechococcus_sp_nat40_gca_002698505	GCA_002698505.1	Contig
sar116_cluster_bacterium_gca_002684695	GCA_002684695.1	Contig
sar116_cluster_bacterium_gca_002689305	GCA_002689305.1	Contig
sar116_cluster_bacterium_gca_002691725	GCA_002691725.1	Contig
sar116_cluster_bacterium_gca_002691795	GCA_002691795.1	Contig
sar116_cluster_bacterium_gca_002695585	GCA_002695585.1	Contig
sar116_cluster_bacterium_gca_002698075	GCA_002698075.1	Contig
sar116_cluster_bacterium_gca_002728695	GCA_002728695.1	Contig
sar116_cluster_bacterium_gca_003332015	GCA_003332015.1	Contig
sar116_cluster_bacterium_gca_003332025	GCA_003332025.1	Contig
pedosphaera_sp__gca_002686885	GCA_002686885.1	Contig
pedosphaera_sp__gca_002690655	GCA_002690655.1	Contig
pedosphaera_sp__gca_002695495	GCA_002695495.1	Contig
acidiferrobacteraceae_bacterium_gca_002687565	GCA_002687565.1	Contig
acidiferrobacteraceae_bacterium_gca_002721105	GCA_002721105.1	Contig
acidiferrobacteraceae_bacterium_gca_002724185	GCA_002724185.1	Contig
acidiferrobacteraceae_bacterium_gca_002725185	GCA_002725185.1	Contig
alcanivoracaceae_bacterium_gca_002706085	GCA_002706085.1	Contig
anaerolineaceae_bacterium_gca_002699125	GCA_002699125.1	Contig
anaerolineaceae_bacterium_gca_002699585	GCA_002699585.1	Contig
anaerolineaceae_bacterium_gca_002702065	GCA_002702065.1	Contig
anaerolineaceae_bacterium_gca_002702705	GCA_002702705.1	Contig
anaerolineaceae_bacterium_gca_003453955	GCA_003453955.1	Scaffold
anaerolineaceae_bacterium_gca_003524305	GCA_003524305.1	Scaffold
anaerolineaceae_bacterium_gca_003569365	GCA_003569365.1	Contig
microbacterium_sp_yaish_1_gca_002245215	GCA_002245215.1	Contig
lactococcus_reticulitermitis_gca_002260845	GCA_002260845.1	Contig
bifidobacterium_sp_wkb344_gca_003688305	GCA_003688305.1	Contig
bifidobacterium_sp_wkb338_gca_003688325	GCA_003688325.1	Contig
larkinella_knui_gca_003858645	GCA_003858645.1	Contig
larkinella_rosea_gca_003858635	GCA_003858635.1	Scaffold
hymenobacter_jeollabukensis_gca_005771675	GCA_005771675.1	Contig
terribacillus_sp_7520_g_gca_002271665	GCA_002271665.1	Contig
hymenobacter_sp_1_3_3_3_gca_004167665	GCA_004167665.1	Contig
enterobacterales_bacterium_cwr94_gca_002837195	GCA_002837195.1	Scaffold
vibrio_qinghaiensis_gca_002257545	GCA_002257545.1	Complete Genome
parabacteroides_sp_ct06_gca_002257605	GCA_002257605.1	Complete Genome
herbaspirillum_sp_meg3_gca_002257565	GCA_002257565.1	Complete Genome
pseudoalteromonas_sp_nbt06_2_gca_002276045	GCA_002276045.1	Contig
paenibacillus_sp_xy044_gca_002257645	GCA_002257645.1	Contig
bifidobacteriaceae_bacterium_gh005_gca_003585865	GCA_003585865.1	Scaffold
bifidobacteriaceae_bacterium_nr016_gca_003585715	GCA_003585715.1	Scaffold
bifidobacteriaceae_bacterium_nr021_gca_003585845	GCA_003585845.1	Scaffold
bifidobacteriaceae_bacterium_wp021_gca_003585695	GCA_003585695.1	Scaffold
bifidobacteriaceae_bacterium_wp022_gca_003585675	GCA_003585675.1	Scaffold
bifidobacteriaceae_bacterium_vn002_gca_003585825	GCA_003585825.1	Scaffold
bifidobacteriaceae_bacterium_nr026_gca_003585795	GCA_003585795.1	Scaffold
bifidobacteriaceae_bacterium_wp012_gca_003585625	GCA_003585625.1	Scaffold
bifidobacteriaceae_bacterium_nr047_gca_003585735	GCA_003585735.1	Scaffold
massilia_phosphatilytica_gca_002968015	GCA_002968015.1	Contig
meiothermus_luteus_gca_003574085	GCA_003574085.1	Contig
bacillus_paranthracis_gca_001883995	GCA_001883995.1	Contig
bacillus_paranthracis_gca_005117095	GCA_005117095.1	Contig
bacillus_paranthracis_gca_005848985	GCA_005848985.1	Complete Genome
bacillus_pacificus_gca_001884025	GCA_001884025.1	Contig
bacillus_pacificus_gca_003858675	GCA_003858675.1	Contig
bacillus_pacificus_gca_006349595	GCA_006349595.1	Contig
bacillus_tropicus_gca_006349625	GCA_006349625.1	Contig
bacillus_tropicus_gca_006349645	GCA_006349645.1	Contig
bacillus_albus_gca_001884185	GCA_001884185.1	Contig
bacillus_albus_gca_004116035	GCA_004116035.1	Contig
bacillus_mobilis_gca_001884045	GCA_001884045.1	Contig
bacillus_mobilis_gca_003612955	GCA_003612955.1	Complete Genome
bacillus_luti_gca_001884105	GCA_001884105.1	Contig
bacillus_paramycoides_gca_001884235	GCA_001884235.1	Contig
paraburkholderia_aromaticivorans_gca_002278075	GCA_002278075.1	Complete Genome
paraburkholderia_aromaticivorans_gca_002278075	GCA_002278075.1	Complete Genome
paenibacillus_sp_7541_gca_002276395	GCA_002276395.1	Contig
klebsiella_quasivariicola_gca_002269255	GCA_002269255.1	Complete Genome
klebsiella_quasivariicola_gca_900509365	GCA_900509365.1	Contig
klebsiella_quasivariicola_gca_900509405	GCA_900509405.2	Contig
klebsiella_quasivariicola_gca_900509435	GCA_900509435.1	Contig
corynebacterium_hadale_gca_002273005	GCA_002273005.1	Contig
flavobacterium_sp_ir1_gca_002277835	GCA_002277835.1	
streptomyces_sp_alain_838_gca_002276245	GCA_002276245.1	Contig
streptomyces_sp_alain_f2r5_gca_002277855	GCA_002277855.1	Contig
bdellovibrionaceae_bacterium_gca_002688055	GCA_002688055.1	Contig
bdellovibrionaceae_bacterium_gca_002722705	GCA_002722705.1	Contig
candidatus_saccharibacteria_bacterium_gca_002746885	GCA_002746885.1	Scaffold
candidatus_saccharibacteria_bacterium_gca_003962975	GCA_003962975.1	Scaffold
cellvibrionales_bacterium_gca_002746135	GCA_002746135.1	Scaffold
cellvibrionaceae_bacterium_gca_002707785	GCA_002707785.1	Contig
chloroflexi_bacterium_gca_002686145	GCA_002686145.1	Contig
chloroflexi_bacterium_gca_002686935	GCA_002686935.1	Contig
chloroflexi_bacterium_gca_002695855	GCA_002695855.1	Contig
chloroflexi_bacterium_gca_002696265	GCA_002696265.1	Contig
chloroflexi_bacterium_gca_002696685	GCA_002696685.1	Contig
chloroflexi_bacterium_gca_002699485	GCA_002699485.1	Contig
chloroflexi_bacterium_gca_002707835	GCA_002707835.1	Contig
chloroflexi_bacterium_gca_002707945	GCA_002707945.1	Contig
chloroflexi_bacterium_gca_002710215	GCA_002710215.1	Contig
chloroflexi_bacterium_gca_002712125	GCA_002712125.1	Contig
chloroflexi_bacterium_gca_002713775	GCA_002713775.1	Contig
chloroflexi_bacterium_gca_002714425	GCA_002714425.1	Contig
chloroflexi_bacterium_gca_002715705	GCA_002715705.1	Contig
chloroflexi_bacterium_gca_002716405	GCA_002716405.1	Contig
chloroflexi_bacterium_gca_002717205	GCA_002717205.1	Contig
chloroflexi_bacterium_gca_002717465	GCA_002717465.1	Contig
chloroflexi_bacterium_gca_002717565	GCA_002717565.1	Contig
chloroflexi_bacterium_gca_002717805	GCA_002717805.1	Contig
chloroflexi_bacterium_gca_002717925	GCA_002717925.1	Contig
chloroflexi_bacterium_gca_002718095	GCA_002718095.1	Contig
chloroflexi_bacterium_gca_002719675	GCA_002719675.1	Contig
chloroflexi_bacterium_gca_002720365	GCA_002720365.1	Contig
chloroflexi_bacterium_gca_002721445	GCA_002721445.1	Contig
chloroflexi_bacterium_gca_002721615	GCA_002721615.1	Contig
chloroflexi_bacterium_gca_002721995	GCA_002721995.1	Contig
chloroflexi_bacterium_gca_002721995	GCA_002721995.1	Contig
chloroflexi_bacterium_gca_002722155	GCA_002722155.1	Contig
chloroflexi_bacterium_gca_002722235	GCA_002722235.1	Contig
chloroflexi_bacterium_gca_002723125	GCA_002723125.1	Contig
chloroflexi_bacterium_gca_002723415	GCA_002723415.1	Contig
chloroflexi_bacterium_gca_002726035	GCA_002726035.1	Contig
chloroflexi_bacterium_gca_002728195	GCA_002728195.1	Contig
chloroflexi_bacterium_gca_002730555	GCA_002730555.1	Contig
chloroflexi_bacterium_gca_002861625	GCA_002861625.1	Scaffold
chloroflexi_bacterium_gca_003228105	GCA_003228105.1	Contig
chloroflexi_bacterium_gca_003228115	GCA_003228115.1	Contig
chloroflexi_bacterium_gca_003228175	GCA_003228175.2	Contig
chloroflexi_bacterium_gca_003228195	GCA_003228195.2	Contig
chloroflexi_bacterium_gca_003242205	GCA_003242205.1	Contig
chloroflexi_bacterium_gca_003243965	GCA_003243965.1	Scaffold
chloroflexi_bacterium_gca_003446775	GCA_003446775.1	Scaffold
chloroflexi_bacterium_gca_003448015	GCA_003448015.1	Scaffold
chloroflexi_bacterium_gca_003451595	GCA_003451595.1	Scaffold
chloroflexi_bacterium_gca_003453555	GCA_003453555.1	Scaffold
chloroflexi_bacterium_gca_003454595	GCA_003454595.1	Scaffold
chloroflexi_bacterium_gca_003520455	GCA_003520455.1	Scaffold
chloroflexi_bacterium_gca_003530725	GCA_003530725.1	Scaffold
chloroflexi_bacterium_gca_003577005	GCA_003577005.1	Scaffold
chloroflexi_bacterium_gca_003577065	GCA_003577065.1	Scaffold
chloroflexi_bacterium_gca_003577345	GCA_003577345.1	Scaffold
chloroflexi_bacterium_gca_003577355	GCA_003577355.1	Scaffold
chloroflexi_bacterium_gca_003577365	GCA_003577365.1	Scaffold
chloroflexi_bacterium_gca_003647875	GCA_003647875.1	Contig
chloroflexi_bacterium_gca_003647945	GCA_003647945.1	Contig
chloroflexi_bacterium_gca_003648025	GCA_003648025.1	Contig
chloroflexi_bacterium_gca_003648065	GCA_003648065.1	Contig
chloroflexi_bacterium_gca_003648075	GCA_003648075.1	Contig
chloroflexi_bacterium_gca_003648125	GCA_003648125.1	Contig
chloroflexi_bacterium_gca_003648135	GCA_003648135.1	Contig
chloroflexi_bacterium_gca_003648195	GCA_003648195.1	Contig
chloroflexi_bacterium_gca_003650185	GCA_003650185.1	Contig
chloroflexi_bacterium_gca_003670395	GCA_003670395.1	Scaffold
chloroflexi_bacterium_gca_003670615	GCA_003670615.1	Contig
chloroflexi_bacterium_gca_003670795	GCA_003670795.1	Scaffold
chloroflexi_bacterium_gca_003694395	GCA_003694395.1	Contig
chloroflexi_bacterium_gca_003694775	GCA_003694775.1	Contig
chloroflexi_bacterium_gca_003695215	GCA_003695215.1	Contig
chloroflexi_bacterium_gca_003695455	GCA_003695455.1	Contig
chloroflexi_bacterium_gca_003695545	GCA_003695545.1	Contig
chloroflexi_bacterium_gca_003695545	GCA_003695545.1	Contig
chloroflexi_bacterium_gca_003695675	GCA_003695675.1	Contig
chloroflexi_bacterium_gca_003696405	GCA_003696405.1	Contig
chloroflexi_bacterium_gca_003696545	GCA_003696545.1	Contig
chloroflexi_bacterium_gca_003696565	GCA_003696565.1	Contig
chloroflexi_bacterium_gca_003696605	GCA_003696605.1	Contig
chloroflexi_bacterium_gca_003696945	GCA_003696945.1	Contig
chloroflexi_bacterium_gca_003820065	GCA_003820065.1	Contig
chloroflexi_bacterium_gca_003820175	GCA_003820175.1	Contig
chloroflexi_bacterium_gca_003973495	GCA_003973495.1	Contig
chromatiales_bacterium_gca_002729495	GCA_002729495.1	Contig
chromatiales_bacterium_gca_002868855	GCA_002868855.1	Contig
crocinitomicaceae_bacterium_gca_002700285	GCA_002700285.1	Contig
crocinitomicaceae_bacterium_gca_002700285	GCA_002700285.1	Contig
crocinitomicaceae_bacterium_gca_002702365	GCA_002702365.1	Contig
crocinitomicaceae_bacterium_gca_002705995	GCA_002705995.1	Contig
crocinitomicaceae_bacterium_gca_002707155	GCA_002707155.1	Contig
crocinitomicaceae_bacterium_gca_002709305	GCA_002709305.1	Contig
crocinitomicaceae_bacterium_gca_002713215	GCA_002713215.1	Contig
crocinitomicaceae_bacterium_gca_002723085	GCA_002723085.1	Contig
cytophagaceae_bacterium_gca_002710685	GCA_002710685.1	Contig
dehalococcoidales_bacterium_gca_002688105	GCA_002688105.1	Contig
dehalococcoidia_bacterium_gca_003104995	GCA_003104995.1	Scaffold
deltaproteobacteria_bacterium_gca_002687015	GCA_002687015.1	Contig
deltaproteobacteria_bacterium_gca_002691205	GCA_002691205.1	Contig
deltaproteobacteria_bacterium_gca_002691205	GCA_002691205.1	Contig
deltaproteobacteria_bacterium_gca_002731275	GCA_002731275.1	Contig
deltaproteobacteria_bacterium_gca_002869005	GCA_002869005.1	Scaffold
deltaproteobacteria_bacterium_gca_002869015	GCA_002869015.1	Scaffold
deltaproteobacteria_bacterium_gca_003194485	GCA_003194485.1	Scaffold
deltaproteobacteria_bacterium_gca_003194495	GCA_003194495.1	Scaffold
deltaproteobacteria_bacterium_gca_003453255	GCA_003453255.1	Scaffold
deltaproteobacteria_bacterium_gca_003499885	GCA_003499885.1	Scaffold
deltaproteobacteria_bacterium_gca_003511005	GCA_003511005.1	Scaffold
deltaproteobacteria_bacterium_gca_003643895	GCA_003643895.1	Contig
deltaproteobacteria_bacterium_gca_003646815	GCA_003646815.1	Contig
deltaproteobacteria_bacterium_gca_003646815	GCA_003646815.1	Contig
deltaproteobacteria_bacterium_gca_003646955	GCA_003646955.1	Contig
deltaproteobacteria_bacterium_gca_003647275	GCA_003647275.1	Contig
deltaproteobacteria_bacterium_gca_003647375	GCA_003647375.1	Contig
deltaproteobacteria_bacterium_gca_003647445	GCA_003647445.1	Contig
deltaproteobacteria_bacterium_gca_003647485	GCA_003647485.1	Contig
deltaproteobacteria_bacterium_gca_003696105	GCA_003696105.1	Contig
deltaproteobacteria_bacterium_gca_003696505	GCA_003696505.1	Contig
flammeovirgaceae_bacterium_gca_002687205	GCA_002687205.1	Contig
gemmatimonadetes_bacterium_gca_002686955	GCA_002686955.1	Contig
gemmatimonadetes_bacterium_gca_002709665	GCA_002709665.1	Contig
gemmatimonadetes_bacterium_gca_002712305	GCA_002712305.1	Contig
gemmatimonadetes_bacterium_gca_002714465	GCA_002714465.1	Contig
gemmatimonadetes_bacterium_gca_002718595	GCA_002718595.1	Contig
gemmatimonadetes_bacterium_gca_002728495	GCA_002728495.1	Contig
gemmatimonadetes_bacterium_gca_002730265	GCA_002730265.1	Contig
gemmatimonadetes_bacterium_gca_002737375	GCA_002737375.1	Contig
gemmatimonadetes_bacterium_gca_003220755	GCA_003220755.1	Scaffold
gemmatimonadetes_bacterium_gca_003220805	GCA_003220805.1	Scaffold
gemmatimonadetes_bacterium_gca_003221035	GCA_003221035.1	Contig
gemmatimonadetes_bacterium_gca_003221755	GCA_003221755.1	Scaffold
gemmatimonadetes_bacterium_gca_003221765	GCA_003221765.1	Scaffold
gemmatimonadetes_bacterium_gca_003221885	GCA_003221885.1	Scaffold
gemmatimonadetes_bacterium_gca_003221895	GCA_003221895.1	Scaffold
gemmatimonadetes_bacterium_gca_003221955	GCA_003221955.1	Scaffold
gemmatimonadetes_bacterium_gca_003222035	GCA_003222035.1	Scaffold
gemmatimonadetes_bacterium_gca_003222055	GCA_003222055.1	Contig
gemmatimonadetes_bacterium_gca_003222115	GCA_003222115.1	Scaffold
gemmatimonadetes_bacterium_gca_003222115	GCA_003222115.1	Scaffold
gemmatimonadetes_bacterium_gca_003222155	GCA_003222155.1	Contig
gemmatimonadetes_bacterium_gca_003222195	GCA_003222195.1	Contig
gemmatimonadetes_bacterium_gca_003222205	GCA_003222205.1	Scaffold
gemmatimonadetes_bacterium_gca_003223395	GCA_003223395.1	Scaffold
gemmatimonadetes_bacterium_gca_003223415	GCA_003223415.1	Scaffold
gemmatimonadetes_bacterium_gca_003223455	GCA_003223455.1	Scaffold
gemmatimonadetes_bacterium_gca_003497425	GCA_003497425.1	Scaffold
gemmatimonadetes_bacterium_gca_003697105	GCA_003697105.1	Contig
halieaceae_bacterium_gca_002704305	GCA_002704305.1	Contig
halieaceae_bacterium_gca_003514115	GCA_003514115.1	Scaffold
halieaceae_bacterium_gca_003517245	GCA_003517245.1	Scaffold
halobacteriovoraceae_bacterium_gca_002707495	GCA_002707495.1	Contig
hyphomonadaceae_bacterium_gca_002693505	GCA_002693505.1	Contig
hyphomonadaceae_bacterium_gca_002714945	GCA_002714945.1	Contig
hyphomonadaceae_bacterium_gca_003525785	GCA_003525785.1	Scaffold
hyphomonadaceae_bacterium_gca_003525785	GCA_003525785.1	Scaffold
ignavibacteriae_bacterium_gca_002698995	GCA_002698995.1	Contig
ignavibacteriae_bacterium_gca_002746605	GCA_002746605.1	Contig
ignavibacteriae_bacterium_gca_003327435	GCA_003327435.1	Contig
ignavibacteriae_bacterium_gca_003576995	GCA_003576995.1	Contig
ignavibacteriae_bacterium_gca_003819715	GCA_003819715.1	Contig
ignavibacteriae_bacterium_gca_003820005	GCA_003820005.1	Contig
ignavibacteriae_bacterium_gca_003820375	GCA_003820375.1	Contig
kiritimatiellaceae_bacterium_gca_002704365	GCA_002704365.1	Contig
legionellales_bacterium_gca_002707205	GCA_002707205.1	Contig
legionellales_bacterium_gca_002708265	GCA_002708265.1	Contig
legionellales_bacterium_gca_002709565	GCA_002709565.1	Contig
legionellales_bacterium_gca_002719415	GCA_002719415.1	Contig
legionellales_bacterium_gca_002721165	GCA_002721165.1	Contig
magnetococcales_bacterium_gca_002687415	GCA_002687415.1	Contig
magnetococcales_bacterium_gca_002707865	GCA_002707865.1	Contig
candidatus_marinimicrobia_bacterium_gca_002689995	GCA_002689995.1	Contig
candidatus_marinimicrobia_bacterium_gca_002701785	GCA_002701785.1	Contig
candidatus_marinimicrobia_bacterium_gca_002712165	GCA_002712165.1	Contig
candidatus_marinimicrobia_bacterium_gca_002715465	GCA_002715465.1	Contig
micrococcales_bacterium_gca_002699445	GCA_002699445.1	Contig
micrococcales_bacterium_gca_002748415	GCA_002748415.1	Contig
myxococcales_bacterium_gca_004193285	GCA_004193285.1	Contig
nevskiales_bacterium_gca_002732075	GCA_002732075.1	Contig
nitrospinae_bacterium_gca_003506735	GCA_003506735.1	Scaffold
nitrospinae_bacterium_gca_003696125	GCA_003696125.1	Contig
nitrospiraceae_bacterium_gca_003453275	GCA_003453275.1	Scaffold
nitrospiraceae_bacterium_gca_003599505	GCA_003599505.1	Contig
pelagibacteraceae_bacterium_gca_002717485	GCA_002717485.1	Contig
pelagibacterales_bacterium_gca_002732015	GCA_002732015.1	Contig
phycisphaeraceae_bacterium_gca_002686995	GCA_002686995.1	Contig
phycisphaeraceae_bacterium_gca_002686995	GCA_002686995.1	Contig
phycisphaeraceae_bacterium_gca_002704825	GCA_002704825.1	Contig
phycisphaeraceae_bacterium_gca_002716625	GCA_002716625.1	Contig
phycisphaerae_bacterium_gca_002683195	GCA_002683195.1	Contig
phycisphaerae_bacterium_gca_002702575	GCA_002702575.1	Contig
phycisphaerae_bacterium_gca_002709295	GCA_002709295.1	Contig
phycisphaerae_bacterium_gca_002717655	GCA_002717655.1	Contig
planctomycetaceae_bacterium_gca_002702655	GCA_002702655.1	Contig
planctomycetaceae_bacterium_gca_002724245	GCA_002724245.1	Contig
planctomycetaceae_bacterium_gca_002726245	GCA_002726245.1	Contig
planctomycetaceae_bacterium_gca_003503535	GCA_003503535.1	Scaffold
planctomycetaceae_bacterium_gca_003531135	GCA_003531135.1	Scaffold
planctomycetes_bacterium_gca_002711105	GCA_002711105.1	Contig
planctomycetes_bacterium_gca_002711105	GCA_002711105.1	Contig
planctomycetes_bacterium_gca_002746535	GCA_002746535.1	Contig
planctomycetes_bacterium_gca_002746535	GCA_002746535.1	Contig
planctomycetes_bacterium_gca_003389255	GCA_003389255.1	Scaffold
planctomycetes_bacterium_gca_003389255	GCA_003389255.1	Scaffold
planctomycetes_bacterium_gca_003576845	GCA_003576845.1	Scaffold
planctomycetes_bacterium_gca_003695705	GCA_003695705.1	Contig
candidatus_poribacteria_bacterium_gca_002691715	GCA_002691715.1	Contig
candidatus_poribacteria_bacterium_gca_002709695	GCA_002709695.1	Contig
candidatus_poribacteria_bacterium_gca_002713895	GCA_002713895.1	Contig
candidatus_poribacteria_bacterium_gca_002726605	GCA_002726605.1	Contig
candidatus_poribacteria_bacterium_gca_002729015	GCA_002729015.1	Contig
candidatus_poribacteria_bacterium_gca_002729415	GCA_002729415.1	Contig
candidatus_poribacteria_bacterium_gca_003635185	GCA_003635185.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635195	GCA_003635195.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635205	GCA_003635205.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635205	GCA_003635205.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635245	GCA_003635245.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635255	GCA_003635255.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635265	GCA_003635265.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635305	GCA_003635305.1	Scaffold
candidatus_poribacteria_bacterium_gca_003635315	GCA_003635315.1	Scaffold
porticoccaceae_bacterium_gca_002591625	GCA_002591625.1	Contig
porticoccaceae_bacterium_gca_002702725	GCA_002702725.1	Contig
porticoccaceae_bacterium_gca_002705545	GCA_002705545.1	Contig
porticoccaceae_bacterium_gca_002731695	GCA_002731695.1	Contig
porticoccaceae_bacterium_gca_002746985	GCA_002746985.1	Contig
puniceicoccaceae_bacterium_gca_002690565	GCA_002690565.1	Contig
puniceicoccaceae_bacterium_gca_002722335	GCA_002722335.1	Contig
puniceicoccaceae_bacterium_gca_002729725	GCA_002729725.1	Contig
puniceicoccaceae_bacterium_gca_003331195	GCA_003331195.1	Contig
rhodobiaceae_bacterium_gca_002715765	GCA_002715765.1	Contig
rhodobiaceae_bacterium_gca_002746275	GCA_002746275.1	Contig
rhodobiaceae_bacterium_gca_003330885	GCA_003330885.1	Complete Genome
rhodobiaceae_bacterium_gca_003447935	GCA_003447935.1	Scaffold
rhodospirillales_bacterium_gca_002696645	GCA_002696645.1	Contig
rickettsiales_bacterium_gca_002689325	GCA_002689325.1	Contig
rickettsiales_bacterium_gca_002689845	GCA_002689845.1	Contig
rickettsiales_bacterium_gca_002691145	GCA_002691145.1	Contig
rickettsiales_bacterium_gca_002691245	GCA_002691245.1	Contig
rickettsiales_bacterium_gca_002696935	GCA_002696935.1	Contig
rickettsiales_bacterium_gca_002731505	GCA_002731505.1	Contig
salinisphaeraceae_bacterium_gca_002683405	GCA_002683405.1	Contig
saprospirales_bacterium_gca_002698985	GCA_002698985.1	Contig
saprospirales_bacterium_gca_003448025	GCA_003448025.1	Scaffold
bryobacterales_bacterium_gca_003513885	GCA_003513885.1	Scaffold
